,DateTime,Seq,Temp,°C
0,2016-10-1,0,13.0,℃
1,2016-10-1,1,13.0,℃
2,2016-10-1,2,13.0,℃
3,2016-10-1,3,13.0,℃
4,2016-10-1,4,13.0,℃
5,2016-10-1,5,13.0,℃
6,2016-10-1,6,12.5,℃
7,2016-10-1,7,12.0,℃
8,2016-10-1,8,14.0,℃
9,2016-10-1,9,14.0,℃
10,2016-10-1,10,14.0,℃
11,2016-10-1,11,13.0,℃
12,2016-10-1,12,13.0,℃
13,2016-10-1,13,14.0,℃
14,2016-10-1,14,16.0,℃
15,2016-10-1,15,15.0,℃
16,2016-10-1,16,14.5,℃
17,2016-10-1,17,12.0,℃
18,2016-10-1,18,12.0,℃
19,2016-10-1,19,12.0,℃
20,2016-10-1,20,12.0,℃
21,2016-10-1,21,12.0,℃
22,2016-10-1,22,11.0,℃
23,2016-10-1,23,11.0,℃
24,2016-10-2,0,11.0,℃
25,2016-10-2,1,11.0,℃
26,2016-10-2,2,11.0,℃
27,2016-10-2,3,11.0,℃
28,2016-10-2,4,11.5,℃
29,2016-10-2,5,11.5,℃
30,2016-10-2,6,11.0,℃
31,2016-10-2,7,11.0,℃
32,2016-10-2,8,12.0,℃
33,2016-10-2,9,12.5,℃
34,2016-10-2,10,14.0,℃
35,2016-10-2,11,14.0,℃
36,2016-10-2,12,15.5,℃
37,2016-10-2,13,16.0,℃
38,2016-10-2,14,16.0,℃
39,2016-10-2,15,16.5,℃
40,2016-10-2,16,17.0,℃
41,2016-10-2,17,16.0,℃
42,2016-10-2,18,15.0,℃
43,2016-10-2,19,14.0,℃
44,2016-10-2,20,13.5,℃
45,2016-10-2,21,12.5,℃
46,2016-10-2,22,12.5,℃
47,2016-10-2,23,11.0,℃
48,2016-10-3,0,11.0,℃
49,2016-10-3,1,10.0,℃
50,2016-10-3,2,10.0,℃
51,2016-10-3,3,9.0,℃
52,2016-10-3,4,9.0,℃
53,2016-10-3,5,8.5,℃
54,2016-10-3,6,8.0,℃
55,2016-10-3,7,9.0,℃
56,2016-10-3,8,11.0,℃
57,2016-10-3,9,13.0,℃
58,2016-10-3,10,14.5,℃
59,2016-10-3,11,15.5,℃
60,2016-10-3,12,16.5,℃
61,2016-10-3,13,17.5,℃
62,2016-10-3,14,18.0,℃
63,2016-10-3,15,18.0,℃
64,2016-10-3,16,18.0,℃
65,2016-10-3,17,17.0,℃
66,2016-10-3,18,16.0,℃
67,2016-10-3,19,14.5,℃
68,2016-10-3,20,14.0,℃
69,2016-10-3,21,14.0,℃
70,2016-10-3,22,13.0,℃
71,2016-10-3,23,13.0,℃
72,2016-10-4,0,13.0,℃
73,2016-10-4,1,12.5,℃
74,2016-10-4,2,12.5,℃
75,2016-10-4,3,12.0,℃
76,2016-10-4,4,11.5,℃
77,2016-10-4,5,12.5,℃
78,2016-10-4,6,12.0,℃
79,2016-10-4,7,12.5,℃
80,2016-10-4,8,14.5,℃
81,2016-10-4,9,16.0,℃
82,2016-10-4,10,16.5,℃
83,2016-10-4,11,17.0,℃
84,2016-10-4,12,17.5,℃
85,2016-10-4,13,17.0,℃
86,2016-10-4,14,17.0,℃
87,2016-10-4,15,17.0,℃
88,2016-10-4,16,16.0,℃
89,2016-10-4,17,16.0,℃
90,2016-10-4,18,15.5,℃
91,2016-10-4,19,16.0,℃
92,2016-10-4,20,16.0,℃
93,2016-10-4,21,15.0,℃
94,2016-10-4,22,15.0,℃
95,2016-10-4,23,15.0,℃
96,2016-10-5,0,15.0,℃
97,2016-10-5,1,15.0,℃
98,2016-10-5,2,14.0,℃
99,2016-10-5,3,14.0,℃
100,2016-10-5,4,13.5,℃
101,2016-10-5,5,13.0,℃
102,2016-10-5,6,13.0,℃
103,2016-10-5,7,13.5,℃
104,2016-10-5,8,14.5,℃
105,2016-10-5,9,15.5,℃
106,2016-10-5,10,15.5,℃
107,2016-10-5,11,16.0,℃
108,2016-10-5,12,16.0,℃
109,2016-10-5,13,16.0,℃
110,2016-10-5,14,16.0,℃
111,2016-10-5,15,15.0,℃
112,2016-10-5,16,14.5,℃
113,2016-10-5,17,14.0,℃
114,2016-10-5,18,13.5,℃
115,2016-10-5,19,13.0,℃
116,2016-10-5,20,13.0,℃
117,2016-10-5,21,13.0,℃
118,2016-10-5,22,12.5,℃
119,2016-10-5,23,12.0,℃
120,2016-10-6,0,12.0,℃
121,2016-10-6,1,12.5,℃
122,2016-10-6,2,13.0,℃
123,2016-10-6,3,12.5,℃
124,2016-10-6,4,13.0,℃
125,2016-10-6,5,13.0,℃
126,2016-10-6,6,12.5,℃
127,2016-10-6,7,12.0,℃
128,2016-10-6,8,13.0,℃
129,2016-10-6,9,13.5,℃
130,2016-10-6,10,14.0,℃
131,2016-10-6,11,14.0,℃
132,2016-10-6,12,14.5,℃
133,2016-10-6,13,14.5,℃
134,2016-10-6,14,15.0,℃
135,2016-10-6,15,15.0,℃
136,2016-10-6,16,14.5,℃
137,2016-10-6,17,14.0,℃
138,2016-10-6,18,13.0,℃
139,2016-10-6,19,13.0,℃
140,2016-10-6,20,13.0,℃
141,2016-10-6,21,12.5,℃
142,2016-10-6,22,12.0,℃
143,2016-10-6,23,13.0,℃
144,2016-10-7,0,14.0,℃
145,2016-10-7,1,14.0,℃
146,2016-10-7,2,14.0,℃
147,2016-10-7,3,14.0,℃
148,2016-10-7,4,13.5,℃
149,2016-10-7,5,13.0,℃
150,2016-10-7,6,14.0,℃
151,2016-10-7,7,13.5,℃
152,2016-10-7,8,13.0,℃
153,2016-10-7,9,13.5,℃
154,2016-10-7,10,14.0,℃
155,2016-10-7,11,13.5,℃
156,2016-10-7,12,14.0,℃
157,2016-10-7,13,14.0,℃
