,DateTime,Day,Holiday,Seq,Watt,Temp
0,2015-6-1,월,0,0,239,10.0
1,2015-6-1,월,0,1,309,9.5
2,2015-6-1,월,0,2,241,9.0
3,2015-6-1,월,0,3,242,9.0
4,2015-6-1,월,0,4,245,9.0
5,2015-6-1,월,0,5,2770,9.0
6,2015-6-1,월,0,6,5202,10.5
7,2015-6-1,월,0,7,1854,11.0
8,2015-6-1,월,0,8,637,13.0
9,2015-6-1,월,0,9,3054,14.0
10,2015-6-1,월,0,10,513,15.0
11,2015-6-1,월,0,11,302,15.0
12,2015-6-1,월,0,12,286,12.0
13,2015-6-1,월,0,13,289,13.0
14,2015-6-1,월,0,14,864,14.0
15,2015-6-1,월,0,15,250,14.0
16,2015-6-1,월,0,16,1980,13.5
17,2015-6-1,월,0,17,5256,13.5
18,2015-6-1,월,0,18,1797,14.0
19,2015-6-1,월,0,19,905,13.0
20,2015-6-1,월,0,20,703,13.0
21,2015-6-1,월,0,21,644,13.0
22,2015-6-1,월,0,22,1329,12.5
23,2015-6-1,월,0,23,280,12.0
24,2015-6-2,화,0,0,269,12.5
25,2015-6-2,화,0,1,276,13.0
26,2015-6-2,화,0,2,297,13.0
27,2015-6-2,화,0,3,293,14.0
28,2015-6-2,화,0,4,258,14.0
29,2015-6-2,화,0,5,332,14.0
30,2015-6-2,화,0,6,4536,14.5
31,2015-6-2,화,0,7,1971,15.5
32,2015-6-2,화,0,8,835,16.0
33,2015-6-2,화,0,9,467,16.0
34,2015-6-2,화,0,10,411,17.0
35,2015-6-2,화,0,11,1452,16.5
36,2015-6-2,화,0,12,334,17.0
37,2015-6-2,화,0,13,455,17.0
38,2015-6-2,화,0,14,299,18.0
39,2015-6-2,화,0,15,289,19.0
40,2015-6-2,화,0,16,284,19.0
41,2015-6-2,화,0,17,2828,18.5
42,2015-6-2,화,0,18,2064,17.5
43,2015-6-2,화,0,19,4611,16.5
44,2015-6-2,화,0,20,667,15.5
45,2015-6-2,화,0,21,520,15.0
46,2015-6-2,화,0,22,2675,14.0
47,2015-6-2,화,0,23,2647,14.0
48,2015-6-3,수,0,0,252,14.0
49,2015-6-3,수,0,1,248,14.0
50,2015-6-3,수,0,2,262,13.0
51,2015-6-3,수,0,3,239,13.0
52,2015-6-3,수,0,4,394,12.5
53,2015-6-3,수,0,5,315,13.0
54,2015-6-3,수,0,6,2740,13.5
55,2015-6-3,수,0,7,2934,14.5
56,2015-6-3,수,0,8,2118,15.5
57,2015-6-3,수,0,9,2030,16.0
58,2015-6-3,수,0,10,443,17.0
59,2015-6-3,수,0,11,455,18.0
60,2015-6-3,수,0,12,443,17.5
61,2015-6-3,수,0,13,441,18.5
62,2015-6-3,수,0,14,3034,20.0
63,2015-6-3,수,0,15,2686,18.5
64,2015-6-3,수,0,16,2749,19.5
65,2015-6-3,수,0,17,2017,19.0
66,2015-6-3,수,0,18,561,18.5
67,2015-6-3,수,0,19,618,18.5
68,2015-6-3,수,0,20,2154,17.5
69,2015-6-3,수,0,21,511,16.5
70,2015-6-3,수,0,22,270,15.0
71,2015-6-3,수,0,23,253,14.0
72,2015-6-4,목,0,0,245,13.5
73,2015-6-4,목,0,1,257,13.0
74,2015-6-4,목,0,2,247,12.0
75,2015-6-4,목,0,3,254,11.5
76,2015-6-4,목,0,4,247,11.0
77,2015-6-4,목,0,5,320,13.0
78,2015-6-4,목,0,6,4723,14.5
79,2015-6-4,목,0,7,1941,16.0
80,2015-6-4,목,0,8,2854,17.0
81,2015-6-4,목,0,9,1873,18.0
82,2015-6-4,목,0,10,426,19.5
83,2015-6-4,목,0,11,383,20.0
84,2015-6-4,목,0,12,386,21.0
85,2015-6-4,목,0,13,386,21.5
86,2015-6-4,목,0,14,386,21.5
87,2015-6-4,목,0,15,426,22.0
88,2015-6-4,목,0,16,2036,22.0
89,2015-6-4,목,0,17,1975,22.0
90,2015-6-4,목,0,18,3005,19.5
91,2015-6-4,목,0,19,565,18.0
92,2015-6-4,목,0,20,542,16.5
93,2015-6-4,목,0,21,2729,15.5
94,2015-6-4,목,0,22,2685,15.0
95,2015-6-4,목,0,23,838,15.0
96,2015-6-5,금,0,0,386,14.0
97,2015-6-5,금,0,1,239,14.0
98,2015-6-5,금,0,2,239,14.0
99,2015-6-5,금,0,3,240,14.0
100,2015-6-5,금,0,4,305,14.0
101,2015-6-5,금,0,5,305,14.5
102,2015-6-5,금,0,6,3550,16.5
103,2015-6-5,금,0,7,2454,18.0
104,2015-6-5,금,0,8,273,20.0
105,2015-6-5,금,0,9,308,23.5
106,2015-6-5,금,0,10,388,24.5
107,2015-6-5,금,0,11,2070,23.5
108,2015-6-5,금,0,12,281,23.5
109,2015-6-5,금,0,13,775,24.0
110,2015-6-5,금,0,14,295,25.0
111,2015-6-5,금,0,15,2486,24.5
112,2015-6-5,금,0,16,2831,23.5
113,2015-6-5,금,0,17,1975,23.0
114,2015-6-5,금,0,18,304,22.5
115,2015-6-5,금,0,19,2885,20.0
116,2015-6-5,금,0,20,1883,18.0
117,2015-6-5,금,0,21,549,15.5
118,2015-6-5,금,0,22,2893,14.5
119,2015-6-5,금,0,23,2826,14.0
120,2015-6-6,토,1,0,1832,12.0
121,2015-6-6,토,1,1,243,12.0
122,2015-6-6,토,1,2,239,11.5
123,2015-6-6,토,1,3,248,11.0
124,2015-6-6,토,1,4,245,10.5
125,2015-6-6,토,1,5,469,11.0
126,2015-6-6,토,1,6,295,12.0
127,2015-6-6,토,1,7,3783,13.5
128,2015-6-6,토,1,8,2624,15.0
129,2015-6-6,토,1,9,974,16.0
130,2015-6-6,토,1,10,293,16.5
131,2015-6-6,토,1,11,284,17.0
132,2015-6-6,토,1,12,402,18.0
133,2015-6-6,토,1,13,932,18.5
134,2015-6-6,토,1,14,331,19.0
135,2015-6-6,토,1,15,326,20.0
136,2015-6-6,토,1,16,673,20.0
137,2015-6-6,토,1,17,4606,18.5
138,2015-6-6,토,1,18,2127,18.0
139,2015-6-6,토,1,19,2148,17.0
140,2015-6-6,토,1,20,663,16.0
141,2015-6-6,토,1,21,555,15.5
142,2015-6-6,토,1,22,301,14.5
143,2015-6-6,토,1,23,321,13.0
144,2015-6-7,일,1,0,245,12.5
145,2015-6-7,일,1,1,705,11.0
146,2015-6-7,일,1,2,240,11.5
147,2015-6-7,일,1,3,409,10.5
148,2015-6-7,일,1,4,657,10.0
149,2015-6-7,일,1,5,246,10.5
150,2015-6-7,일,1,6,241,12.5
151,2015-6-7,일,1,7,1831,13.5
152,2015-6-7,일,1,8,6997,14.5
153,2015-6-7,일,1,9,2380,15.5
154,2015-6-7,일,1,10,4273,16.0
155,2015-6-7,일,1,11,3275,17.0
156,2015-6-7,일,1,12,1774,18.0
157,2015-6-7,일,1,13,1687,18.0
158,2015-6-7,일,1,14,1680,19.0
159,2015-6-7,일,1,15,2743,19.5
160,2015-6-7,일,1,16,4370,20.0
161,2015-6-7,일,1,17,2893,19.5
162,2015-6-7,일,1,18,2770,19.0
163,2015-6-7,일,1,19,2066,18.5
164,2015-6-7,일,1,20,2264,14.5
165,2015-6-7,일,1,21,594,13.5
166,2015-6-7,일,1,22,766,13.0
167,2015-6-7,일,1,23,238,12.0
168,2015-6-8,월,0,0,238,13.0
169,2015-6-8,월,0,1,385,12.5
170,2015-6-8,월,0,2,388,11.5
171,2015-6-8,월,0,3,238,11.0
172,2015-6-8,월,0,4,237,10.0
173,2015-6-8,월,0,5,1270,10.5
174,2015-6-8,월,0,6,2798,11.5
175,2015-6-8,월,0,7,1989,13.0
176,2015-6-8,월,0,8,897,14.5
177,2015-6-8,월,0,9,324,16.0
178,2015-6-8,월,0,10,309,16.0
179,2015-6-8,월,0,11,310,16.5
180,2015-6-8,월,0,12,327,17.0
181,2015-6-8,월,0,13,305,17.0
182,2015-6-8,월,0,14,305,16.0
183,2015-6-8,월,0,15,416,15.5
184,2015-6-8,월,0,16,399,15.0
185,2015-6-8,월,0,17,2821,14.5
186,2015-6-8,월,0,18,2130,14.0
187,2015-6-8,월,0,19,3886,13.0
188,2015-6-8,월,0,20,1892,13.0
189,2015-6-8,월,0,21,628,12.5
190,2015-6-8,월,0,22,306,11.5
191,2015-6-8,월,0,23,253,10.0
192,2015-6-9,화,0,0,254,9.0
193,2015-6-9,화,0,1,246,9.0
194,2015-6-9,화,0,2,241,9.0
195,2015-6-9,화,0,3,905,9.0
196,2015-6-9,화,0,4,246,9.0
197,2015-6-9,화,0,5,946,9.0
198,2015-6-9,화,0,6,4568,10.0
199,2015-6-9,화,0,7,1962,11.5
200,2015-6-9,화,0,8,603,12.5
201,2015-6-9,화,0,9,3116,13.0
202,2015-6-9,화,0,10,4565,14.0
203,2015-6-9,화,0,11,402,14.0
204,2015-6-9,화,0,12,504,14.0
205,2015-6-9,화,0,13,2623,14.0
206,2015-6-9,화,0,14,2880,14.5
207,2015-6-9,화,0,15,1951,14.5
208,2015-6-9,화,0,16,2987,14.0
209,2015-6-9,화,0,17,2173,14.5
210,2015-6-9,화,0,18,2043,14.0
211,2015-6-9,화,0,19,1977,13.5
212,2015-6-9,화,0,20,2115,12.5
213,2015-6-9,화,0,21,3193,12.0
214,2015-6-9,화,0,22,2648,12.0
215,2015-6-9,화,0,23,397,11.0
216,2015-6-10,수,0,0,235,11.0
217,2015-6-10,수,0,1,315,11.0
218,2015-6-10,수,0,2,243,10.5
219,2015-6-10,수,0,3,239,10.0
220,2015-6-10,수,0,4,241,10.5
221,2015-6-10,수,0,5,293,11.0
222,2015-6-10,수,0,6,867,11.0
223,2015-6-10,수,0,7,2823,11.5
224,2015-6-10,수,0,8,366,13.5
225,2015-6-10,수,0,9,1980,14.5
226,2015-6-10,수,0,10,354,15.0
227,2015-6-10,수,0,11,683,15.0
228,2015-6-10,수,0,12,607,16.5
229,2015-6-10,수,0,13,564,17.0
230,2015-6-10,수,0,14,2057,17.5
231,2015-6-10,수,0,15,388,18.0
232,2015-6-10,수,0,16,298,17.5
233,2015-6-10,수,0,17,2021,17.5
